"","Mcav_na_K11_na_exp_na_salmon","Mcav_na_K12_na_control_na_salmon","Mcav_na_K13_na_exp_na_salmon","Mcav_na_K14_na_control_na_salmon","Mcav_na_K15_na_exp_na_salmon","Mcav_na_K16_na_control_na_salmon","Mcav_na_K17_na_D1_na_salmon","Mcav_na_K18_na_D1_na_salmon","Mcav_na_K19_na_D1_na_salmon","Mcav_na_K22_na_D1control_na_salmon","Mcav_na_K23_na_D1_na_salmon","Mcav_na_K25_na_D1_na_salmon","Mcav_na_K27_na_D4control_na_salmon","Mcav_na_K29_na_D1_na_salmon","Mcav_na_K31_na_D1_na_salmon","Mcav_na_K33_na_D1control_na_salmon","Mcav_na_K34_na_D1control_na_salmon","Mcav_na_K36_na_D1_na_salmon","Mcav_na_K38_na_D2control_na_salmon","Mcav_na_K39_na_D2control_na_salmon","Mcav_na_K40_na_D1_na_salmon","Mcav_na_K42_na_D4control_na_salmon","Mcav_na_K43_na_D3control_na_salmon","Mcav_na_K44_na_D1_na_salmon","Mcav_na_K45_na_D1_na_salmon","Mcav_na_K47_na_D4control_na_salmon","Mcav_na_K49_na_D1_na_salmon","Mcav_na_K50_na_D1control_na_salmon","Mcav_na_K51_na_D4control_na_salmon"
"Mcavernosa03880-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03881-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03882-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,3.143298,0,21.667405,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03883-RA",4.127845,31.813249,73.465418,8.433886,1.04916,0,0,5.153022,13.546161,170.87831,0,0,48.876664,0,0,29.86712,0,20.854938,22.944839,0,0,0,0,0,1.035809,29.099408,0,0,0
"Mcavernosa03886-RA",0,0,3.104173,0,0,0,0,0,1.042012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03887-RA",1.031961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.043057,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03889-RA",0,71.836368,129.340525,1.054236,54.556315,0,0,7.214231,11.462136,137.738274,0,0,279.740905,9.429895,38.884296,77.301788,0,0,49.01852,1.044543,101.74533,13.491359,0,0,3.107426,168.360862,0,0,1.047131
"Mcavernosa03890-RA",0,2.052468,0,0,0,0,0,0,0,0,1.034641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03892-RA",0,1.026234,5.173621,0,0,0,0,0,2.084025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03894-RA",0,0.72636,7.748674,0,0,0,0,0,1.042012,1.466016,0,0,26.126531,0,0,0,0,0,0,0,0,0,0,0,0,29.099408,0,0,0
"Mcavernosa03895-RA",0,8.209871,19.65976,0,0,0,0,6.183626,3.126037,4.142504,0,0,0,0,0,24.736572,0,0,0,1.044543,0,0,0,0,0,0,0,0,0
"Mcavernosa03897-RA",0,4.404809,7.772189,0,0,0,0,0,0,8.890245,0,0,13.390772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03899-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03900-RA",48.502183,6.157403,51.73621,0,23.081518,0,0,34.009945,25.008297,55.923811,0,0,53.03638,0,1.050927,4.122762,0,0,1.042947,1.044543,0,20.755937,6.238827,0,0,15.588969,0,0,62.827859
"Mcavernosa03901-RA",179.561273,132.384164,237.986566,10.542358,281.174855,0,0,92.754396,123.999471,197.80459,80.701975,1.042906,1416.383321,0,0,45.350382,8.344458,66.735802,7.300631,322.763751,125.624336,11.415765,25.995114,281.051416,126.368664,202.656593,0,36.80204,27.225405
"Mcavernosa03902-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03903-RA",103.196134,420.755871,757.418114,11.596593,9.442439,0,0,45.346593,30.218359,281.690305,141.745776,0,231.904171,0,0,1.030691,0,0,1.042947,0,26.993659,6.226781,80.064952,7.180146,0,40.531319,99.068362,0,102.618836
"Mcavernosa03905-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03906-RA",0,9.236104,19.65976,0,0,0,0,0,6.252074,53.852558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.669991,0,0,0
"Mcavernosa03907-RA",1079.431564,213.456637,1742.475552,37.952487,596.971987,43.208811,6.209109,76.264725,172.974052,564.416237,6.207844,91.775752,292.220054,1.047766,57.80098,142.235289,30.24866,128.25787,7.300631,232.933063,206.605313,79.910358,148.692054,1779.650389,0,769.055788,221.322935,134.590318,526.706882
"Mcavernosa03908-RA",0,0,2.069448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03909-RA",9.287652,16.419741,18.625036,0,5.2458,0,0,0,2.084025,23.819401,0,0,0,0,0,0,0,0,0,0,0,9.340172,0,0,0,24.94235,0,0,0
"Mcavernosa03912-RA",7.223729,123.14806,129.340525,0,31.474797,0,0,13.397857,25.008297,79.743211,0,0,28.078083,0,0,3.092072,0,1.042747,0,28.202658,6.229306,17.642547,0,265.66539,0,2.078529,0,0,1.047131
"Mcavernosa03913-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03914-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03918-RA",0,2.052468,1.034724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03919-RA",288.949176,473.093797,365.257642,0,307.403853,20.023595,0,23.703901,67.730804,301.367202,69.320927,0,479.407277,52.388304,4.203708,258.703316,1.043057,46.923611,0,57.449859,65.407712,69.532389,35.353355,3.077205,197.839465,567.43846,0,0,68.063514
"Mcavernosa03920-RA",0.000273,14.367274,56.909831,0,6.9e-05,0,0,0.002476,11.462136,109.776369,0,0,1.3e-05,0,0,0,0,0,0,0,0,6.2e-05,0.000154,0,0,205.774387,0,0,0
"Mcavernosa03921-RA",15.479147,0,0,0,77.637764,0,0,6.18115,0,0,0,0,121.671682,0,0,0,0,1.042747,0,0,0,2.075532,7.278478,0,0,0,0,0,0
"Mcavernosa03922-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03923-RA",0,10.262338,26.902829,3.162707,0,0,0,0,0,0,0,0,0,6.286596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03924-RA",0,0,8.277794,0,0,0,0,0,0,2.071252,0,0,53.03638,0,0,0,0,0,0,0,0,0,0,0,0,1.039265,0,0,0
"Mcavernosa03925-RA",313.716248,139.567801,457.348096,24.247422,624.250145,76.932761,5.174258,59.775055,78.150927,217.481486,2.069281,0,132.070985,25.146386,0,101.007669,0,27.11142,0,0,24.917224,179.538856,94.622216,299.514648,0,373.095984,0,0,109.948753
"Mcavernosa03926-RA",0,14.367274,11.381966,0,0,0,0,0,1.042012,0,0,0,0,0,0,0,0,0,0,0,0,0,1.039805,0,0,0,0,0,0
"Mcavernosa03930-RA",42.310415,816.88213,764.661184,54.820259,1031.324189,1541.81683,0,30.918132,73.982878,1474.731599,55.870598,0,1296.791484,42.958409,1.050927,465.872106,21.904202,25.025926,22.944839,0,345.726478,150.480544,501.185804,1.025735,203.018509,1955.895937,85.367418,84.118949,715.190458
"Mcavernosa03931-RA",3.095884,1.026234,32.07645,0,0,0,24.836436,0,5.210062,5.178131,0,61.53147,0,1.047766,0,0,0,0,0,0,0,13.491359,9.358241,0,0,37.413525,0,0,0
"Mcavernosa03935-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03936-RA",0,0,7.243069,0,0,0,0,2.061209,6.252074,26.926279,0,0,111.272405,1.047766,0,0,0,1.042747,0,0,0,0,0,0,0,38.452789,0,0,0
"Mcavernosa03937-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03938-RA",0,1.026234,3.104173,0,0,0,0,5.153022,8.336099,11.391887,0,0,0,0,0,0,0,0,0,0,9.343959,0,9.358241,0,0,0,0,0,5.235655
"Mcavernosa03940-RA",43.342376,173.433518,212.118461,0,55.605475,0,0,4.122418,31.260371,113.918874,0,0,181.987578,16.764257,12.611123,99.976979,0,0,1.042947,0,0,3.113391,0,1.025735,0,19.746027,0,0,1.047131
"Mcavernosa03941-RA",0,7.183637,11.381966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03943-RA",34.054724,1.026234,15.520863,1.054236,24.130678,0,0,7.214231,1.042012,9.320635,0,0,21.838509,0,0,0,0,0,0,0,5.191088,0,0,0,0,21.824556,0,0,0
"Mcavernosa03944-RA",0,0,0,0,0,0,0,0,2.084025,0,0,0,43.677019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.047131
"Mcavernosa03945-RA",28.894918,62.600264,96.229351,0,52.457995,2.107747,0,1.030604,34.386408,131.524518,0,0,129.991127,6.286596,0,76.271097,0,0,22.944839,111.766089,0,1.037797,37.432965,1.025735,0,426.098477,0,0,1.047131
"Mcavernosa03946-RA",5.159807,4.104935,6.208345,0,0,0,0,0,1.042012,6.213757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03947-RA",0,3.078701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03948-RA",6.191768,0,8.277794,0,0,0,0,23.703901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03950-RA",5.159807,15.393507,84.847384,3.162707,0,0,0,23.703901,16.672198,35.211288,10.346407,0,183.027507,0,0,0,0,0,2.085894,0,0,0,0,1.025735,0,0,0,0,34.555322
"Mcavernosa03951-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03952-RA",0,2.052468,10.347242,0,0,0,0,0,5.210062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03953-RA",0,0,0,0,0,0,0,1.030604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03954-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03956-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03957-RA",31.990802,133.410398,323.868674,5.271179,279.076535,71.663393,0,3.091813,19.798235,72.493829,1.034641,0,105.032831,4.191064,0,11.337596,0,0,1.042947,0,0,1.037797,0,0,1.035809,49.8847,0,0,148.692599
"Mcavernosa03958-RA",150.666356,229.876378,249.368532,8.433886,32.523957,0,0,90.693187,73.982878,653.480084,150.022902,160.607566,276.621118,1.047766,2.101854,24.736572,0,26.068673,1.042947,112.810632,98.630677,28.020515,49.910619,589.797679,15.537131,180.832037,10.539187,7.360408,593.723265
"Mcavernosa03959-RA",0,1.026234,17.590311,0,51.408835,0,0,0,1.042012,4.142504,0,0,0,0,0,23.705882,1.043057,0,1.042947,0,0,0,0,0,0,41.570583,0,0,176.965135
"Mcavernosa03960-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03961-RA",243.542877,201.141831,370.431263,33.735544,398.680765,51.639798,13.45307,24.734506,70.856841,280.654679,12.415688,179.379879,171.588288,5.23883,76.717664,113.375955,43.808404,28.154167,34.417259,249.645749,88.248501,74.721374,124.776549,0,0,376.213778,0,227.121162,61.780728
"Mcavernosa03964-RA",2.063923,4.104935,7.243069,0,0,0,0,4.122418,1.042012,1.035626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051487,0
"Mcavernosa03967-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03968-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03969-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03971-RA",0,27.708313,37.250071,0,109.11263,0,0,0,2.084025,72.493829,1.034641,0,0,0,0,85.547312,0,0,0,0,39.452271,0,0,0,0,33.256467,0,0,93.194657
"Mcavernosa03973-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03974-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03975-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03976-RA",1.031961,10.262338,26.902829,0,0,0,0,0,0,4.142504,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025735,2.071617,0,0,0,1.047131
"Mcavernosa03977-RA",0,3.078701,18.625036,0,0,0,0,1.030604,5.210062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03978-RA",0,0,0,0,0,0,0,0,0,0,0,0,28.078083,0,0,0,0,0,0,0,0,14.529156,0,0,0,0,0,0,0
"Mcavernosa03979-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03980-RA",26.830995,4.104935,3.104173,0,34.622277,0,0,1.030604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.020879,1.053919,0,0
"Mcavernosa03981-RA",0,0,0,0,0,0,0,0,1.042012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03982-RA",2.063923,243.217418,58.979279,17.922008,143.734907,17.915848,0,42.25478,25.008297,80.778838,0,45.887876,3795.74091,19.907556,2.101854,123.68286,0,1.042747,0,40.737172,0,0,21.835896,1.025735,1.035809,180.832037,1.053919,1.051487,7.329917
"Mcavernosa03983-RA",0,0,0,0,0,0,0,0,2.084025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03984-RA",0,0,1.034724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03985-RA",0,0,1.034724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.353381,0,0,0
"Mcavernosa03986-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03989-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03992-RA",0,0,0,0,0,0,0,0,0,0,0,0,19.758651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03994-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03995-RA",0,14.367274,4.138897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03996-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03997-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa03998-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04000-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04001-RA",1.031961,8.209871,8.277794,0,0,0,0,0,1.042012,15.534392,0,0,91.513753,0,0,0,0,0,0,0,0,0,0,0,0,10.392646,0,0,0
"Mcavernosa04002-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04003-RA",0,0,2.069448,0,0,0,0,4.122418,0,3.106878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04004-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04005-RA",0,0,3.104173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04006-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04007-RA",0,0,11.381966,0,0,0,0,6.183626,2.084025,2.071252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035809,0,0,0,0
"Mcavernosa04009-RA",0,3.078701,6.208345,3.162707,0,0,0,10.306044,2.084025,3.106878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.117794,0,1.051487,0
"Mcavernosa04010-RA",47.470222,45.154289,11.381966,0,110.16179,0,105.554855,8.244835,40.638482,11.391887,0,0,0,1.047766,0,15.460358,0,1.042747,0,0,0,0,0,2.05147,0,18.706762,0,0,2.094262
"Mcavernosa04011-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04012-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04013-RA",0,1.026234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04014-RA",0,44.128055,13.451415,0,0,0,0,0,2.084025,2.071252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04015-RA",0,8.209871,6.208345,0,0,0,0,0,0,0,0,0,0,0,0,22.675191,1.043057,1.042747,0,0,0,0,0,0,1.035809,11.43191,0,0,0
"Mcavernosa04016-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04017-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04018-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04019-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04020-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04022-RA",0,0,1.034724,0,0,0,0,0,3.126037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04023-RA",108.355941,286.319239,461.486993,0,2.09832,0,2.069703,24.734506,71.898853,251.657148,106.567993,0,358.775511,17.812023,1.050927,78.332478,2.086114,4.170988,2.085894,0,2.076435,29.058312,5.199023,1.025735,2.071617,166.282333,3.161756,162.980463,16.754096
"Mcavernosa04024-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04025-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04026-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04027-RA",10.319613,14.367274,27.937553,0,15.737399,0,0,0,4.168049,20.712522,0,0,0,0,0,0,0,0,0,0,5.191088,0,0,0,0,8.314117,0,0,0
"Mcavernosa04028-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04029-RA",0,0,0,0,1.04916,0,0,0,0,0,0,0,0,0,1.050927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04030-RA",0,27.708313,49.666762,6.325415,0,0,0,5.153022,18.756223,73.529455,0,0,25.998225,0,0,19.58312,0,0,0,0,0,2.075594,21.835896,0,0,32.217202,0,27.338658,0
"Mcavernosa04032-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.458612,0,0,0,0,0,0,0,0
"Mcavernosa04033-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04036-RA",0,0,4.138897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.235587,0,0,0
"Mcavernosa04037-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04039-RA",0,1.026234,0,0,0,0,0,0,1.042012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04040-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04041-RA",105.260057,101.597149,54.840383,4.216943,123.800869,48.478178,0,4.122418,17.71421,31.068784,0,0,225.664597,0,0,50.503835,0,9.384722,30.24547,0,0,22.831531,0,1.025735,0,58.198816,0,3.154461,127.749979
"Mcavernosa04042-RA",0,5.131169,17.590311,6.325415,0,0,0,0,0,23.819401,0,0,53.03638,0,0,6.184143,0,0,0,0,0,0,0,0,0,32.217202,0,0,0
"Mcavernosa04043-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04044-RA",446.839261,183.695856,649.806797,21.084715,262.289977,0,0,135.009176,152.133805,208.160851,54.835957,0,193.426797,1.047766,0,11.337596,0,0,0,97.142488,0,63.305608,47.83101,1085.22773,0,86.25896,0,0,20.94262
"Mcavernosa04048-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04049-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04050-RA",228.063457,82.098707,240.056014,12.650829,97.571871,0,0,39.162967,70.856841,49.710054,0,0,139.350488,0,17.865757,89.670074,0,0,0,0,0,34.247296,14.557264,0,0,35.334996,0,72.552593,24.084013
"Mcavernosa04053-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04054-RA",0,8.209871,5.173621,0,0,0,0,0,3.126037,8.285009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035809,0,0,0,0
"Mcavernosa04056-RA",0,0,0,0,0,0,0,12.367253,2.084025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04061-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04062-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04063-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04064-RA",50.566106,87.229876,77.604315,12.650829,0,0,0,3.091813,1.042012,130.488892,0,0,75.914818,0,0,17.521739,0,44.838117,2.085894,0,0,0,0,0,1.035809,119.515427,0,0,75.39343
"Mcavernosa04065-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04066-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04067-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04068-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04069-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04070-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04074-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04075-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04076-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04077-RA",0,0,0.976224,0,0,0,0,0,0,0,0,0,0,0,0,19.58312,0,0,0,0,0,0,0,0,0,29.099408,0,0,0
"Mcavernosa04078-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04081-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04082-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04084-RA",0,5.131169,3.104173,0,0,0,0,7.214231,1.042012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04085-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04086-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04087-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04088-RA",0,2.052468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04089-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04090-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa04092-RA",0,3.078701,0,0,0,0,0,0,0,5.178131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
