"","Mcav_na_K11_na_exp_na_salmon","Mcav_na_K12_na_control_na_salmon","Mcav_na_K13_na_exp_na_salmon","Mcav_na_K14_na_control_na_salmon","Mcav_na_K15_na_exp_na_salmon","Mcav_na_K16_na_control_na_salmon","Mcav_na_K17_na_D1_na_salmon","Mcav_na_K18_na_D1_na_salmon","Mcav_na_K19_na_D1_na_salmon","Mcav_na_K22_na_D1control_na_salmon","Mcav_na_K23_na_D1_na_salmon","Mcav_na_K25_na_D1_na_salmon","Mcav_na_K27_na_D4control_na_salmon","Mcav_na_K29_na_D1_na_salmon","Mcav_na_K31_na_D1_na_salmon","Mcav_na_K33_na_D1control_na_salmon","Mcav_na_K34_na_D1control_na_salmon","Mcav_na_K36_na_D1_na_salmon","Mcav_na_K38_na_D2control_na_salmon","Mcav_na_K39_na_D2control_na_salmon","Mcav_na_K40_na_D1_na_salmon","Mcav_na_K42_na_D4control_na_salmon","Mcav_na_K43_na_D3control_na_salmon","Mcav_na_K44_na_D1_na_salmon","Mcav_na_K45_na_D1_na_salmon","Mcav_na_K47_na_D4control_na_salmon","Mcav_na_K49_na_D1_na_salmon","Mcav_na_K50_na_D1control_na_salmon","Mcav_na_K51_na_D4control_na_salmon"
"Mcavernosa02437-RA",25.42485,23.33935,23.23164,23.38473,0,0,0,0,4.940729,8.694341,0,0,19.92894,0,0,38.37901,0,0,0,0,2.373982,0,0,236.0143,0,0,0,0,0
"Mcavernosa02438-RA",4.202097,56.82801,13.64136,0,0.424468,0,0,2.291101,42.3455,22.03884,7.511369,0,43.05041,26.36273,6.075223,1.245966,46.46003,5.076802,0,0,0,0,2.943004,1.061424,3.110434,1.59568,13.69024,0,1.153792
"Mcavernosa02439-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02440-RA",0,17.41193,12.15869,0,0,0,0,0,0,0,0,0,0,46.85191,0,26.57199,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02442-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02443-RA",0,0,0,0,0,0,0,26.63891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02444-RA",4.688488,0,0.682964,0,0,0,0,0,0,8.465351,0,0,0,0,0,0,0,0,0,0,28.89321,32.12312,0,0,0,0,0,0,0
"Mcavernosa02446-RA",0,7.976269,3.06839,0,0,0,0,0,4.502676,0.633879,0,150.7982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02447-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02448-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02453-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02454-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02455-RA",0,5.041036,0.387847,0,0,0,0,0,0,0.801228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02456-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02457-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02458-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02459-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02460-RA",0,0,1.24828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02461-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02462-RA",0,0,1.24828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02463-RA",0,0,0.00287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02471-RA",0,0,1.845755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02472-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02473-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02474-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02475-RA",29.16666,105.1845,32.77537,0,0,0,0,0,0,23.82337,0,0,29.65309,182.9832,0,77.83399,0,0,0,0,0,0,0,0,10.79473,16.61337,0,0,0
"Mcavernosa02477-RA",0,5.346379,10.69483,0,9.983494,0,0,0,21.12655,5.94832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.53038,0,0,0
"Mcavernosa02479-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02480-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02481-RA",49.79746,183.0192,77.23285,0,28.9977,0,0,11.17981,9.392363,73.60473,0,0,0,0,0,25.83957,0,130.0588,0,0,0,0,0,0,0,36.98533,8.350477,269.4272,0
"Mcavernosa02482-RA",15.55561,13.3008,9.648603,33.84549,20.22448,3.598207,0,82.35122,56.84948,11.47625,72.20616,0,60.15994,110.1838,0,0,0,0,0,52.94009,103.0783,5.000778,44.28133,0,0,2.334216,0,2.307696,30.86278
"Mcavernosa02484-RA",0,0,0.799235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02485-RA",0,3.132629,1.057622,0,0,0,0,0,5.412598,1.151339,0,0,0,9.69523,4.46848,9.164394,0,0,0,0,0,0,0,0.780704,0,0,0,2.030574,0
"Mcavernosa02487-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,70.64389,0,0,0,27.20849,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02488-RA",0,2.658756,5.523102,0,0,0,0,0,9.005352,1.901637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.89822,0,0,0
"Mcavernosa02489-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa02490-RA",0,9.497856,7.578556,0,87.53064,0,0,18.89814,6.41499,26.34662,0,0,0,0,0,78.96121,0,272.1939,0,164.1825,0,0,206.3405,0,0,4.305641,0,0,0
